2.9,9.661484,2.995239
1.6,17.225906,10.200562
1.7,26.394958,17.882858
3.4,19.158356,10.386658
3.4,19.145142,10.401901
2.1,18.762161,10.282578
1.9,21.505981,11.782257
2.6,23.255371,12.389465
3.4,18.414871,9.624786
3.4,21.356079,11.060867
3.4,21.280121,11.320862
2.2,22.228409,11.649963
2.1,18.666031,9.819809
1.9,17.159729,8.666901
3.4,15.717453,7.454956
3.1,15.936234,7.484726
3.4,14.670258,6.588852
3.4,16.46875,7.99884
1.9,14.828186,6.585815
3.4,13.536682,5.793213
3.4,14.618271,6.981857
2.5,20.096191,10.542542
1.9,21.990891,10.215256
2.5,22.757446,10.58989
2.6,22.983841,10.742371
2.1,21.986984,10.288437
3.4,18.851578,9.636642
3.4,18.201233,9.453857
3.4,17.339035,8.841034
3.4,16.848618,8.785675
3.4,19.195969,10.315475
3.4,16.286514,8.225632
3.4,17.013336,8.79953
3.4,15.695953,7.977554
3.4,15.235077,7.578217
3.4,17.289093,8.841614
3.4,18.539978,8.34404
3.4,21.949005,9.88681
3.4,22.986694,10.375137
2.6,21.925644,10.030136
2,21.617889,9.965851
2.2,22.638657,10.087555
2.2,22.063049,10.044983
1.9,20.759155,9.058868
3.4,20.716476,9.319733
2.9,22.259018,10.399368
1.9,18.473846,9.377472
2.9,16.201782,8.46846
1.9,14.782257,7.1073
3.4,14.1996,7.01152
3.4,15.233948,7.397293
3.4,18.064804,8.095718
3,20.008209,8.882797
2.5,15.205597,6.707199
2.5,13.647583,6.115875
1.9,14.804184,6.775223
2.2,16.146561,7.392365
3.1,15.740158,7.567123
3.4,15.66098,7.43956
3.4,16.654282,8.157059
3.4,15.586655,7.491501
2.6,15.376373,7.135025
2.1,16.894211,8.024521
1.7,22.524918,10.618347
3.3,22.218704,10.447021
3.4,18.072617,8.937622
2.4,18.521194,8.514679
2.6,14.548691,6.66037
1.6,14.769073,6.909485
2.1,15.395126,7.367508
3.4,16.249268,7.796844
3.4,19.039032,9.542938
3.1,23.458908,12.344284
3.1,22.378326,12.034653
3.4,25.033844,13.237549
1.7,25.223694,13.320465
3.4,25.336609,12.602173
3.4,23.107452,10.878174
3.4,24.834808,12.292435
3.4,20.409592,10.320572
3.4,21.869553,10.452866
1.7,17.151077,8.206482
3.3,20.084381,10.39476
2.2,17.651413,8.934372
3.4,17.801529,8.684937
2.2,16.829086,8.09668
1.9,14.997452,6.54216
1.9,15.212082,6.886902
